",""text"",""favorited"",""favoriteCount"",""replyToSN"",""created"",""truncated"",""replyToSID"",""id"",""replyToUID"",""statusSource"",""screenName"",""retweetCount"",""isRetweet"",""retweeted"",""longitude"",""latitude""";;;
"#metoo #fhritp"",FALSE,1,NA,""11/29/17 23:55"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""GLucivero"",0,FALSE,FALSE,NA,NA";;;
"38,""and the reality";;;
;;;
that many of us have been living;;;
;;;
all of our lives;;;
;;;
finally starts to come to light;;;
;;;
"#itsabouttime #truth #metoo"",FALSE,2,NA,""11/29/17 23:55"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""IndigoRave"",0,FALSE,FALSE,NA,NA";;;
"39,""@samaralynn Good for you for being strong, and brave enough to say #MeToo"",FALSE,1,""samaralynn"",""11/29/17 23:54"",FALSE,9.32e+17,9.36e+17,14601243,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""roadgearsun"",0,FALSE,FALSE,NA,NA";;;
"40,""g-d bless every brave woman who is standing up to their aggressors. and to everyone else who has ever stood by in w https://t.co/TVXEeyk5y0"",FALSE,1,NA,""11/29/17 23:54"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""AliBerlow"",0,FALSE,FALSE,NA,NA";;;
"41,""Sex Workers Deserve A Space To Voice #MeToo by @TheNudeReporter https://t.co/RaIOK8usbb"",FALSE,0,NA,""11/29/17 23:54"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""SWSupportLV"",0,FALSE,FALSE,NA,NA";;;
